 ,TimeBand,Date,Channel,Master Programme,Description,Ev. Type,Start Time,End Time,Length (hhmmss),Length (sec),Level,F 22-40 ABC
1,06:30:00 - 07:00:00,01-08-2024,Colors,EK NAYEE ZINDAGI,Break,Ad Break,06:35:27,06:35:47,00:00:20,20,Level 2,0.004069
2,06:30:00 - 07:00:00,01-08-2024,Colors,EK NAYEE ZINDAGI,CBNINDIA.ORG,Commercial,06:35:27,06:35:47,00:00:20,20,Level 4,0.004069
3,06:30:00 - 07:00:00,01-08-2024,Colors,EK NAYEE ZINDAGI,Break,Ad Break,06:47:06,06:47:33,00:00:27,27,Level 2,0.004069
4,06:30:00 - 07:00:00,01-08-2024,Colors,EK NAYEE ZINDAGI,CBNINDIA.ORG,Commercial,06:47:06,06:47:33,00:00:27,27,Level 4,0.004069
5,07:00:00 - 07:30:00,01-08-2024,Colors,MERA BALAM THANEDAR,REALME 13 PRO PLUS 5G/13 PRO 5G,Commercial,07:05:03,07:05:10,00:00:07,7,Level 4,0.005805
6,07:00:00 - 07:30:00,01-08-2024,Colors,MERA BALAM THANEDAR,REALME 13 PRO PLUS 5G/13 PRO 5G,Commercial,07:15:02,07:15:10,00:00:08,8,Level 4,0.019698
7,07:00:00 - 07:30:00,01-08-2024,Colors,MERA BALAM THANEDAR,Break,Ad Break,07:19:09,07:20:29,00:01:20,80,Level 2,0.01972
8,07:00:00 - 07:30:00,01-08-2024,Colors,MERA BALAM THANEDAR,SURF EXCEL EASY WASH,Commercial,07:19:09,07:19:29,00:00:20,20,Level 4,0.023249
9,07:00:00 - 07:30:00,01-08-2024,Colors,MERA BALAM THANEDAR,LACTO CALAMINE LOTION,Commercial,07:19:29,07:19:49,00:00:20,20,Level 4,0.023249
10,07:00:00 - 07:30:00,01-08-2024,Colors,MERA BALAM THANEDAR,VIM BAR,Commercial,07:19:49,07:20:09,00:00:20,20,Level 4,0.018868
11,07:00:00 - 07:30:00,01-08-2024,Colors,MERA BALAM THANEDAR,TRESEMME KERATIN SMOOTH SHAMPOO,Commercial,07:20:09,07:20:29,00:00:20,20,Level 4,0.013512
12,07:00:00 - 07:30:00,01-08-2024,Colors,MERA BALAM THANEDAR,Break,Ad Break,07:24:15,07:25:05,00:00:50,50,Level 2,0.013201
13,07:00:00 - 07:30:00,01-08-2024,Colors,MERA BALAM THANEDAR,LIFEBUOY TOILET SOAP,Commercial,07:24:15,07:24:35,00:00:20,20,Level 4,0.014114
14,07:00:00 - 07:30:00,01-08-2024,Colors,MERA BALAM THANEDAR,KNORR PIZZA & PASTA SAUCE,Commercial,07:24:35,07:24:45,00:00:10,10,Level 4,0.014114
15,07:00:00 - 07:30:00,01-08-2024,Colors,MERA BALAM THANEDAR,BROOKE BOND TAJ MAHAL (BRB),Commercial,07:24:45,07:25:05,00:00:20,20,Level 4,0.011831
16,07:30:00 - 08:00:00,01-08-2024,Colors,LAUGHTER CHEFS UNLIMITED ENTERTAINMENT,Break,Ad Break,07:38:47,07:39:07,00:00:20,20,Level 2,0.043132
17,07:30:00 - 08:00:00,01-08-2024,Colors,LAUGHTER CHEFS UNLIMITED ENTERTAINMENT,HORLICKS WOMENS PLUS,Commercial,07:38:47,07:39:07,00:00:20,20,Level 4,0.043132
18,07:30:00 - 08:00:00,01-08-2024,Colors,LAUGHTER CHEFS UNLIMITED ENTERTAINMENT,Break,Ad Break,07:51:39,07:51:59,00:00:20,20,Level 2,0.074641
19,07:30:00 - 08:00:00,01-08-2024,Colors,LAUGHTER CHEFS UNLIMITED ENTERTAINMENT,PONDS BRIGHT BEAUTY FACE WASH (PON),Commercial,07:51:39,07:51:59,00:00:20,20,Level 4,0.074641
20,08:00:00 - 08:30:00,01-08-2024,Colors,LAUGHTER CHEFS UNLIMITED ENTERTAINMENT,Break,Ad Break,08:04:51,08:10:36,00:05:45,345,Level 2,0.074108
21,08:00:00 - 08:30:00,01-08-2024,Colors,LAUGHTER CHEFS UNLIMITED ENTERTAINMENT,DOVE CREAM BATHING BAR,Commercial,08:04:51,08:05:11,00:00:20,20,Level 4,0.095479
